tier,edit_type,edit_detail,ratio,word_a,freq_a,example_a,word_b,freq_b,example_b,decision,preferred_form,notes
review,indel,k,3.5,kwake,33,Mkelu wadaghamba ngolonyi kwake.,wake,114,Mumi wake ni kitoi.,,,
review,substitution,h/v,2.9,ihi,109,Mruke ni ghwa ighu nadime ihi,ivi,38,Ivi vindo vasinga.,,,
review,substitution,o/e,1.3,ndee,83,Ghuw'ikilo ni ndee.,ndoe,64,"Iruwa jikatua, ndoe yakaia na rangi ighokie",,,
review,indel,',8.1,w'engi,130,Ngera ni angu lukundo lwa w'engi losia,wengi,16,Wandu wengi wadapoilwaa ni kusafiri,,,
auto,substitution,k/a,70.9,awa,20,Awa wiwae widima kupata.,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,,,
auto,indel,u,202.6,kuwa,7,Kuwa mbogha,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,,,
auto,substitution,k/g,354.5,gwa,4,Mchezo gwa moira ghwa mindi ghwmanyikie,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,,,
auto,substitution,s/a,472.7,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,kws,3,Eka yakaiagha ilagho ja mana kuboisa chama chetesia KWS,,,
auto,substitution,k/o,472.7,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,owa,3,Chienyi kwake owa midi kufuma Wuimgereza,,,
auto,substitution,k/r,472.7,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,rwa,3,Rwa nguwo ra ishima,,,
auto,substitution,u/a,13.4,w'andu,898,W'andu w'iboilwagha ni kubonya maw'iw'i.,w'undu,67,Narumaghia masholio kwa w'undu ghwako.,,,
